title,homepage_url,is_public,is_hidden_in_reading_list,profile_type,profile_user_name,profile_user_image_url,feed_url
Discontinued blog of old version of bCisive Online,http://bcisiveonline.blogspot.com/,true,false,PEOPLESENSE,Alexander.Garber,,
Our Man in Japan,http://ourmaninjapan101.blogspot.com/,true,true,PEOPLESENSE,Alexander.Garber,,
